Plat,Pays,Catégorie,Protéines (g),Lipides (g),Glucides (g),Calories (kcal),Fibres (g),Sucres (g),Sodium (mg),Score_Sante,Categorie_Sante
Saganaki,GRÈCE,Fromage,38.32816464617987,58.161826895968424,203.51000845785174,715.6470256554836,12.235692134197913,0.0,2136.5943050465185,5.7,Moyen
Pastitsio,GRÈCE,Pâtes,123.24778628245537,64.07023863124718,112.68197508629747,1502.0561308719798,13.40237130421732,0.0,3213.6425033768573,3.4,À éviter
Baklava,GRÈCE,Dessert,60.67244014263882,122.92409577177789,116.40346408558331,1824.75802343352,3.8206826286296485,0.0,1235.8634742740703,2.6,À éviter
Greek Salad,GRÈCE,Salade,96.07822685788787,98.23728813559323,105.6844850065189,1689.3872229465449,15.238591916558018,0.0,4300.443285528032,2.9,À éviter
Butter Chicken,INDE,Volaille,76.6655074767748,152.45913855631176,70.87535396691342,3331.7750509215566,11.252421878881217,0.0,4281.255899448557,2.9,À éviter
Biryani,INDE,Riz,58.375982694032636,206.27868938954254,35.34532791642484,2225.9800559278224,4.337044267398302,0.0,3940.1414024165047,2.8,À éviter
Samosas,INDE,Entrée,58.79386083844026,87.13053853245839,154.07560062910136,1459.108411519063,6.529638266717284,0.0,1382.6888659905635,3.1,À éviter
Dal Makhani,INDE,Végétarien,27.332981599947242,207.23801358570205,65.42900481435072,2136.137307920596,11.999604299940646,0.0,807.0302710545405,5.2,Moyen
Naan,INDE,Pain,98.64503816793894,33.3206106870229,168.0343511450382,1377.1946564885498,9.732824427480915,0.0,455.7824427480915,4.4,Peu sain
Tandoori Chicken,INDE,Volaille,152.42135030045952,57.19335454224107,90.3852951572994,1306.4687168610817,9.013785790031813,0.0,2099.6818663838812,4.0,Peu sain
Palak Paneer,INDE,Végétarien,27.040337711069416,140.1266416510319,132.8330206378987,1889.3058161350843,5.628517823639775,0.0,1384.732645403377,4.3,Peu sain
Vindaloo,INDE,Curry,65.17047906776003,113.72464393612431,121.10487699611566,1590.9365558912384,22.831247302546394,0.0,1562.0630125161847,3.3,À éviter
Korma,INDE,Curry,112.27094617955512,82.13092082516998,105.5981329952749,1615.1492451308059,10.908147977411547,0.0,2593.606661288464,3.0,À éviter
Pad Thai,THAÏLANDE,Nouilles,70.98746560684808,20.177315805564053,208.83521858758792,1594.2372363191687,31.13726689085907,0.0,1374.579639254051,4.1,Peu sain
Tom Yum Goong,THAÏLANDE,Soupe,53.569324430479185,81.99626865671641,164.43440691280438,1584.1172427336999,10.545954438334642,0.0,3867.846622152396,3.4,À éviter
Green Curry,THAÏLANDE,Curry,56.29560986910691,39.65017954361171,204.05421058728135,1352.0937101818602,7.8101471099270245,0.0,1672.883122900498,4.2,Peu sain
Massaman Curry,THAÏLANDE,Curry,56.11894498429167,128.48688536567545,115.39416965003286,1831.7016146708554,12.077153503324322,0.0,1906.9920362387668,3.4,À éviter
Tom Kha Gai,THAÏLANDE,Soupe,50.99673202614378,32.573529411764696,216.4297385620915,914.207516339869,5.996732026143791,0.0,2237.892156862745,4.9,Peu sain
Red Curry,THAÏLANDE,Curry,98.28905700211119,76.90666783954961,124.8042751583392,1583.49093947924,6.81518296973962,0.0,1706.7316150598172,2.5,À éviter
Pad See Ew,THAÏLANDE,Nouilles,103.40999206978589,41.81205392545599,154.77795400475813,1964.0166534496432,9.773988897700237,0.0,4080.3925455987314,3.2,À éviter
Hamburger,ÉTATS-UNIS,Fast-food,63.533882203926524,34.5598480050665,201.90626979100693,565.3261557948068,10.12666244458518,0.0,763.7745408486384,5.3,Moyen
Hot Dog,ÉTATS-UNIS,Street-food,99.21259842519684,56.10236220472441,144.68503937007875,1476.3779527559057,0.0,0.0,1151.5748031496064,2.5,À éviter
Mac and Cheese,ÉTATS-UNIS,Comfort-food,19.19152276295133,21.310832025117744,259.49764521193094,604.945054945055,3.767660910518053,0.0,382.65306122448976,6.9,Sain
BBQ Ribs,ÉTATS-UNIS,Viande,52.094028640907865,44.79870305322885,103.1072683058633,1028.5508421147438,3.42249842384941,0.0,3510.762856885526,5.0,Moyen
Fried Chicken,ÉTATS-UNIS,Volaille,28.06018269747448,119.20472864051587,152.7350886620097,1042.4502955400324,0.0,0.0,89.81192907039227,5.1,Moyen
Apple Pie,ÉTATS-UNIS,Dessert,63.2350603941513,108.04195804195804,128.72298156389064,951.8634774316591,10.477590591226953,0.0,654.8196122059759,4.2,Peu sain
Cheeseburger,ÉTATS-UNIS,Fast-food,149.8216409036861,20.689655172413794,129.48870392390012,1327.3483947681334,0.0,0.0,847.9904875148633,3.9,À éviter
Buffalo Wings,ÉTATS-UNIS,Entrée,81.96825903182071,215.78275779567747,2.248983172501794,2276.018821277614,0.21532817609059732,0.0,3229.8030145944654,0.6,À éviter
Clam Chowder,ÉTATS-UNIS,Soupe,69.54288649203903,60.0924499229584,170.36466358500255,1519.5172059578842,10.272213662044171,0.0,854.185927067283,3.3,À éviter
Philly Cheesesteak,ÉTATS-UNIS,Sandwich,72.31442537228601,86.72274639081506,140.96282823689896,1634.6709105376833,8.389223598954189,0.0,2854.4844833465954,2.6,À éviter
